# q (A^-1)   I(q)
      0.00       917333.68
      0.01       891461.90
      0.02       835331.88
      0.03       752932.66
      0.04       655200.90
      0.05       554517.62
      0.06       460454.61
      0.07       378563.34
      0.08       311049.19
      0.09       257274.95
      0.10       215191.02
      0.11       182401.58
      0.12       156680.68
      0.13       136268.78
      0.14       119861.43
      0.15       106495.50
      0.16        95477.36
      0.17        86289.06
      0.18        78534.41
      0.19        71917.63
      0.20        66208.38
      0.21        61233.14
      0.22        56862.97
      0.23        52996.70
      0.24        49558.12
      0.25        46486.83
      0.26        43733.28
      0.27        41258.86
      0.28        39030.08
      0.29        37018.06
      0.30        35197.13
      0.31        33542.81
      0.32        32033.14
      0.33        30647.59
      0.34        29368.00
      0.35        28179.57
      0.36        27070.60
      0.37        26032.97
      0.38        25061.05
      0.39        24150.37
      0.40        23297.43
      0.41        22498.75
      0.42        21751.49
      0.43        21053.67
      0.44        20403.95
      0.45        19802.06
      0.46        19247.78
      0.47        18740.92
      0.48        18280.68
      0.49        17864.99
      0.50        17490.71
