# q (A^-1)   I(q)
      0.00      5660016.32
      0.01      5183311.50
      0.02      4276582.22
      0.03      3224535.28
      0.04      2317713.92
      0.05      1663765.26
      0.06      1227240.00
      0.07       937250.69
      0.08       739816.97
      0.09       600763.68
      0.10       499296.23
      0.11       422929.91
      0.12       363966.66
      0.13       317470.94
      0.14       280142.25
      0.15       249641.07
      0.16       224370.56
      0.17       203205.46
      0.18       185273.54
      0.19       169925.94
      0.20       156668.97
      0.21       145112.57
      0.22       134956.28
      0.23       125963.14
      0.24       117959.14
      0.25       110800.47
      0.26       104364.04
      0.27        98557.25
      0.28        93302.38
      0.29        88532.55
      0.30        84188.74
      0.31        80216.78
      0.32        76575.02
      0.33        73226.61
      0.34        70136.80
      0.35        67275.19
      0.36        64614.99
      0.37        62137.90
      0.38        59831.15
      0.39        57684.73
      0.40        55689.17
      0.41        53835.33
      0.42        52114.54
      0.43        50519.47
      0.44        49044.16
      0.45        47686.42
      0.46        46444.63
      0.47        45315.68
      0.48        44295.51
      0.49        43378.33
      0.50        42556.78
