# q (A^-1)   I(q)
      0.00      1316990.07
      0.01      1275606.53
      0.02      1172682.29
      0.03      1025656.10
      0.04       860291.06
      0.05       700525.59
      0.06       561858.52
      0.07       450262.11
      0.08       364768.58
      0.09       300681.48
      0.10       252561.93
      0.11       215835.64
      0.12       187152.95
      0.13       164246.73
      0.14       145600.56
      0.15       130167.17
      0.16       117220.12
      0.17       106234.51
      0.18        96818.99
      0.19        88678.98
      0.20        81581.05
      0.21        75343.78
      0.22        69825.50
      0.23        64912.97
      0.24        60517.21
      0.25        56565.54
      0.26        52998.36
      0.27        49768.13
      0.28        46835.80
      0.29        44170.07
      0.30        41743.90
      0.31        39532.46
      0.32        37513.25
      0.33        35664.66
      0.34        33967.55
      0.35        32405.35
      0.36        30963.96
      0.37        29632.58
      0.38        28402.61
      0.39        27266.99
      0.40        26219.57
      0.41        25254.25
      0.42        24365.37
      0.43        23547.78
      0.44        22797.10
      0.45        22110.00
      0.46        21483.93
      0.47        20916.91
      0.48        20407.03
      0.49        19951.51
      0.50        19546.34
