# q (A^-1)   I(q)
      0.00      2055716.96
      0.01      1946511.29
      0.02      1780150.92
      0.03      1550985.76
      0.04      1293703.97
      0.05      1048128.06
      0.06       837206.34
      0.07       667587.82
      0.08       537324.72
      0.09       438897.12
      0.10       364336.81
      0.11       307279.79
      0.12       262868.88
      0.13       227718.97
      0.14       199489.84
      0.15       176449.84
      0.16       157395.41
      0.17       141449.81
      0.18       127946.20
      0.19       116410.49
      0.20       106459.14
      0.21        97798.06
      0.22        90204.75
      0.23        83493.37
      0.24        77529.75
      0.25        72203.63
      0.26        67422.87
      0.27        63118.48
      0.28        59226.44
      0.29        55697.08
      0.30        52490.61
      0.31        49568.65
      0.32        46902.06
      0.33        44461.74
      0.34        42221.81
      0.35        40162.12
      0.36        38264.05
      0.37        36514.62
      0.38        34902.51
      0.39        33416.58
      0.40        32047.52
      0.41        30784.86
      0.42        29619.82
      0.43        28545.27
      0.44        27555.21
      0.45        26645.91
      0.46        25814.00
      0.47        25056.55
      0.48        24369.81
      0.49        23748.08
      0.50        23185.03
