# q (A^-1)   I(q)
      0.00      2895225.89
      0.01      2766150.44
      0.02      2446570.45
      0.03      2021829.13
      0.04      1590467.41
      0.05      1219954.73
      0.06       933783.92
      0.07       724875.75
      0.08       574965.24
      0.09       466343.63
      0.10       386000.42
      0.11       325280.82
      0.12       278413.41
      0.13       241516.99
      0.14       211945.08
      0.15       187864.13
      0.16       168004.69
      0.17       151447.98
      0.18       137500.68
      0.19       125631.61
      0.20       115422.87
      0.21       106557.50
      0.22        98798.55
      0.23        91962.16
      0.24        85903.05
      0.25        80501.35
      0.26        75658.61
      0.27        71297.21
      0.28        67353.11
      0.29        63774.65
      0.30        60518.54
      0.31        57547.89
      0.32        54831.51
      0.33        52339.35
      0.34        50041.90
      0.35        47912.03
      0.36        45928.12
      0.37        44076.01
      0.38        42346.71
      0.39        40733.60
      0.40        39231.05
      0.41        37833.25
      0.42        36534.93
      0.43        35331.34
      0.44        34218.03
      0.45        33191.89
      0.46        32250.71
      0.47        31392.94
      0.48        30616.18
      0.49        29916.02
      0.50        29286.27
