# q (A^-1)   I(q)
      0.00      3255336.18
      0.01      3055036.46
      0.02      2661681.45
      0.03      2157047.17
      0.04      1659796.42
      0.05      1248396.34
      0.06       941740.48
      0.07       723918.83
      0.08       570887.58
      0.09       461800.83
      0.10       382115.41
      0.11       322439.91
      0.12       276652.93
      0.13       240737.95
      0.14       212026.76
      0.15       188678.36
      0.16       169432.08
      0.17       153385.61
      0.18       139851.80
      0.19       128319.72
      0.20       118396.93
      0.21       109780.09
      0.22       102238.46
      0.23        95585.12
      0.24        89678.67
      0.25        84405.79
      0.26        79672.62
      0.27        75405.09
      0.28        71543.85
      0.29        68042.93
      0.30        64861.73
      0.31        61961.70
      0.32        59309.29
      0.33        56871.75
      0.34        54619.83
      0.35        52530.26
      0.36        50583.30
      0.37        48765.70
      0.38        47066.57
      0.39        45477.65
      0.40        43992.96
      0.41        42605.87
      0.42        41310.42
      0.43        40101.64
      0.44        38976.59
      0.45        37934.81
      0.46        36976.28
      0.47        36100.65
      0.48        35306.50
      0.49        34590.11
      0.50        33945.90
