# q (A^-1)   I(q)
      0.00       157918.13
      0.01       156695.05
      0.02       153981.48
      0.03       149653.91
      0.04       143840.60
      0.05       136805.57
      0.06       128823.47
      0.07       120158.03
      0.08       111106.55
      0.09       101933.96
      0.10        92886.62
      0.11        84180.49
      0.12        75968.87
      0.13        68361.35
      0.14        61419.36
      0.15        55162.66
      0.16        49586.04
      0.17        44657.87
      0.18        40329.33
      0.19        36541.58
      0.20        33228.20
      0.21        30324.22
      0.22        27769.17
      0.23        25508.86
      0.24        23498.07
      0.25        21698.97
      0.26        20081.25
      0.27        18621.46
      0.28        17300.98
      0.29        16105.49
      0.30        15023.05
      0.31        14042.99
      0.32        13155.52
      0.33        12351.06
      0.34        11620.62
      0.35        10956.17
      0.36        10350.57
      0.37         9797.93
      0.38         9293.23
      0.39         8832.12
      0.40         8410.78
      0.41         8025.69
      0.42         7673.65
      0.43         7351.91
      0.44         7058.11
      0.45         6790.42
      0.46         6547.33
      0.47         6327.50
      0.48         6129.64
      0.49         5952.23
      0.50         5793.54
