# q (A^-1)   I(q)
      0.00      2062140.92
      0.01      1991857.69
      0.02      1816873.23
      0.03      1570733.40
      0.04      1299721.21
      0.05      1043922.80
      0.06       826557.28
      0.07       654233.04
      0.08       523065.45
      0.09       424716.09
      0.10       350782.73
      0.11       294576.51
      0.12       251212.97
      0.13       217249.94
      0.14       190252.14
      0.15       168462.22
      0.16       150614.64
      0.17       135782.97
      0.18       123278.49
      0.19       112592.70
      0.20       103346.47
      0.21        95262.71
      0.22        88137.73
      0.23        81813.97
      0.24        76168.04
      0.25        71100.00
      0.26        66528.97
      0.27        62392.02
      0.28        58637.49
      0.29        55223.16
      0.30        52112.80
      0.31        49273.50
      0.32        46675.62
      0.33        44291.84
      0.34        42097.20
      0.35        40070.23
      0.36        38193.38
      0.37        36453.62
      0.38        34841.48
      0.39        33349.29
      0.40        31969.79
      0.41        30695.56
      0.42        29519.53
      0.43        28435.79
      0.44        27439.92
      0.45        26528.53
      0.46        25698.64
      0.47        24947.22
      0.48        24270.62
      0.49        23663.98
      0.50        23121.41
