# q (A^-1)   I(q)
      0.00      1516159.35
      0.01      1445280.49
      0.02      1317423.04
      0.03      1140542.29
      0.04       944768.53
      0.05       760227.18
      0.06       603947.64
      0.07       480301.70
      0.08       386627.87
      0.09       316629.14
      0.10       264000.46
      0.11       223856.40
      0.12       192643.13
      0.13       167935.91
      0.14       148081.84
      0.15       131881.18
      0.16       118493.48
      0.17       107298.40
      0.18        97826.71
      0.19        89739.31
      0.20        82768.69
      0.21        76712.78
      0.22        71416.80
      0.23        66751.14
      0.24        62616.87
      0.25        58932.86
      0.26        55632.06
      0.27        52663.98
      0.28        49984.78
      0.29        47558.73
      0.30        45356.90
      0.31        43351.26
      0.32        41517.69
      0.33        39832.37
      0.34        38272.80
      0.35        36821.86
      0.36        35465.76
      0.37        34196.16
      0.38        33007.28
      0.39        31894.12
      0.40        30852.55
      0.41        29877.83
      0.42        28965.91
      0.43        28113.71
      0.44        27319.26
      0.45        26581.89
      0.46        25900.92
      0.47        25275.31
      0.48        24702.93
      0.49        24180.50
      0.50        23704.17
