# q (A^-1)   I(q)
      0.00      3311638.49
      0.01      3030733.04
      0.02      2630491.27
      0.03      2129959.77
      0.04      1637470.09
      0.05      1233878.38
      0.06       935885.55
      0.07       724516.83
      0.08       575471.40
      0.09       468097.56
      0.10       388562.34
      0.11       328386.31
      0.12       281905.00
      0.13       245321.90
      0.14       216068.51
      0.15       192277.57
      0.16       172673.21
      0.17       156327.85
      0.18       142531.69
      0.19       130797.71
      0.20       120729.57
      0.21       112018.25
      0.22       104428.00
      0.23        97744.87
      0.24        91815.87
      0.25        86521.96
      0.26        81764.48
      0.27        77472.29
      0.28        73578.48
      0.29        70029.96
      0.30        66785.79
      0.31        63810.52
      0.32        61078.78
      0.33        58562.72
      0.34        56236.21
      0.35        54076.68
      0.36        52063.73
      0.37        50185.09
      0.38        48430.60
      0.39        46791.74
      0.40        45262.23
      0.41        43833.78
      0.42        42500.22
      0.43        41255.96
      0.44        40095.34
      0.45        39015.51
      0.46        38014.35
      0.47        37091.12
      0.48        36244.86
      0.49        35471.34
      0.50        34764.26
