# q (A^-1)   I(q)
      0.00       421919.26
      0.01       417010.99
      0.02       402729.66
      0.03       380336.39
      0.04       351714.75
      0.05       319086.82
      0.06       284702.29
      0.07       250569.19
      0.08       218274.15
      0.09       188901.17
      0.10       163034.17
      0.11       140824.25
      0.12       122099.15
      0.13       106486.64
      0.14        93525.98
      0.15        82750.91
      0.16        73739.82
      0.17        66138.00
      0.18        59660.91
      0.19        54087.08
      0.20        49247.29
      0.21        45013.22
      0.22        41286.93
      0.23        37992.26
      0.24        35068.43
      0.25        32465.93
      0.26        30143.95
      0.27        28068.61
      0.28        26211.34
      0.29        24547.46
      0.30        23054.90
      0.31        21713.42
      0.32        20504.19
      0.33        19409.84
      0.34        18414.86
      0.35        17506.10
      0.36        16673.09
      0.37        15907.76
      0.38        15203.88
      0.39        14556.33
      0.40        13960.53
      0.41        13412.26
      0.42        12907.63
      0.43        12443.32
      0.44        12016.69
      0.45        11625.76
      0.46        11269.10
      0.47        10945.50
      0.48        10653.70
      0.49        10392.07
      0.50        10158.41
