# q (A^-1)   I(q)
      0.00      5635368.83
      0.01      5140081.23
      0.02      4310849.31
      0.03      3325116.14
      0.04      2436797.06
      0.05      1769552.87
      0.06      1311537.77
      0.07      1003153.99
      0.08       792232.63
      0.09       643134.74
      0.10       533807.17
      0.11       451173.66
      0.12       387161.93
      0.13       336605.24
      0.14       296077.13
      0.15       263077.25
      0.16       235848.03
      0.17       213117.60
      0.18       193911.35
      0.19       177516.43
      0.20       163369.33
      0.21       151040.12
      0.22       140214.57
      0.23       130633.82
      0.24       122093.54
      0.25       114425.69
      0.26       107504.34
      0.27       101244.46
      0.28        95571.99
      0.29        90422.47
      0.30        85741.22
      0.31        81478.45
      0.32        77587.92
      0.33        74020.00
      0.34        70730.26
      0.35        67684.83
      0.36        64857.08
      0.37        62228.93
      0.38        59785.11
      0.39        57510.97
      0.40        55394.66
      0.41        53424.47
      0.42        51592.18
      0.43        49891.64
      0.44        48315.40
      0.45        46857.80
      0.46        45513.71
      0.47        44280.86
      0.48        43157.38
      0.49        42137.05
      0.50        41210.44
