# q (A^-1)   I(q)
      0.00      1945720.09
      0.01      1840721.58
      0.02      1654912.73
      0.03      1404450.14
      0.04      1136960.19
      0.05       895241.06
      0.06       699256.72
      0.07       550011.97
      0.08       440044.07
      0.09       359212.75
      0.10       298935.18
      0.11       253168.47
      0.12       217717.53
      0.13       189746.76
      0.14       167313.87
      0.15       149020.91
      0.16       133895.90
      0.17       121233.52
      0.18       110513.00
      0.19       101356.22
      0.20        93464.98
      0.21        86608.26
      0.22        80605.75
      0.23        75308.03
      0.24        70602.81
      0.25        66400.84
      0.26        62631.25
      0.27        59239.63
      0.28        56177.61
      0.29        53405.20
      0.30        50887.41
      0.31        48591.69
      0.32        46490.14
      0.33        44556.13
      0.34        42765.84
      0.35        41100.16
      0.36        39543.23
      0.37        38085.03
      0.38        36718.71
      0.39        35439.62
      0.40        34244.39
      0.41        33128.49
      0.42        32087.55
      0.43        31117.09
      0.44        30213.24
      0.45        29374.10
      0.46        28598.03
      0.47        27883.96
      0.48        27230.38
      0.49        26634.05
      0.50        26090.65
