# q (A^-1)   I(q)
      0.00       946378.82
      0.01       911772.47
      0.02       847646.54
      0.03       755664.62
      0.04       648551.34
      0.05       541118.01
      0.06       443764.86
      0.07       361487.91
      0.08       295537.55
      0.09       244147.12
      0.10       204467.23
      0.11       173742.37
      0.12       149640.08
      0.13       130454.01
      0.14       114977.65
      0.15       102321.16
      0.16        91856.77
      0.17        83113.96
      0.18        75732.22
      0.19        69447.11
      0.20        64047.10
      0.21        59369.89
      0.22        55289.61
      0.23        51701.84
      0.24        48526.72
      0.25        45699.42
      0.26        43167.94
      0.27        40893.01
      0.28        38840.75
      0.29        36983.72
      0.30        35298.18
      0.31        33762.25
      0.32        32357.73
      0.33        31066.82
      0.34        29873.96
      0.35        28766.05
      0.36        27732.04
      0.37        26764.91
      0.38        25859.53
      0.39        25012.66
      0.40        24221.82
      0.41        23484.07
      0.42        22796.60
      0.43        22156.66
      0.44        21561.83
      0.45        21010.90
      0.46        20503.17
      0.47        20038.30
      0.48        19615.72
      0.49        19233.54
      0.50        18888.79
