# q (A^-1)   I(q)
      0.00     16116888.20
      0.01     14331115.35
      0.02     10628770.41
      0.03      7034657.66
      0.04      4578938.57
      0.05      3136230.36
      0.06      2285793.53
      0.07      1746308.12
      0.08      1378830.92
      0.09      1116277.61
      0.10       922814.74
      0.11       776470.48
      0.12       663100.46
      0.13       573824.24
      0.14       502792.67
      0.15       445524.61
      0.16       398557.21
      0.17       359460.46
      0.18       326477.32
      0.19       298258.43
      0.20       273812.82
      0.21       252449.93
      0.22       233681.07
      0.23       217090.52
      0.24       202310.35
      0.25       189038.26
      0.26       177067.17
      0.27       166256.45
      0.28       156492.45
      0.29       147661.91
      0.30       139655.23
      0.31       132384.07
      0.32       125766.10
      0.33       119712.44
      0.34       114143.50
      0.35       109000.71
      0.36       104235.89
      0.37        99810.80
      0.38        95701.26
      0.39        91887.87
      0.40        88353.15
      0.41        85078.48
      0.42        82047.75
      0.43        79247.88
      0.44        76661.40
      0.45        74275.54
      0.46        72087.97
      0.47        70096.31
      0.48        68292.64
      0.49        66668.08
      0.50        65213.18
