# q (A^-1)   I(q)
      0.00     16549814.35
      0.01     13760661.11
      0.02      9973371.14
      0.03      6545044.62
      0.04      4266594.95
      0.05      2922214.54
      0.06      2115170.72
      0.07      1601987.55
      0.08      1257912.84
      0.09      1016461.77
      0.10       840838.25
      0.11       709763.66
      0.12       609284.66
      0.13       530293.36
      0.14       467155.48
      0.15       415870.21
      0.16       373600.58
      0.17       338385.10
      0.18       308685.93
      0.19       283428.89
      0.20       261792.16
      0.21       243121.92
      0.22       226878.06
      0.23       212599.54
      0.24       199984.81
      0.25       188798.58
      0.26       178807.67
      0.27       169816.38
      0.28       161669.02
      0.29       154264.09
      0.30       147525.38
      0.31       141383.38
      0.32       135763.49
      0.33       130582.53
      0.34       125776.40
      0.35       121296.71
      0.36       117104.47
      0.37       113179.69
      0.38       109509.16
      0.39       106076.94
      0.40       102865.05
      0.41        99856.50
      0.42        97040.17
      0.43        94405.41
      0.44        91943.27
      0.45        89658.46
      0.46        87553.11
      0.47        85623.64
      0.48        83868.81
      0.49        82276.43
      0.50        80833.21
