# q (A^-1)   I(q)
      0.00      3046920.30
      0.01      2848039.82
      0.02      2436981.60
      0.03      1923194.67
      0.04      1442190.69
      0.05      1071537.48
      0.06       817865.21
      0.07       650157.75
      0.08       535067.24
      0.09       450562.99
      0.10       385145.76
      0.11       333151.18
      0.12       291189.76
      0.13       256883.49
      0.14       228474.35
      0.15       204614.13
      0.16       184321.15
      0.17       166881.36
      0.18       151765.02
      0.19       138581.10
      0.20       127012.60
      0.21       116807.91
      0.22       107766.44
      0.23        99715.97
      0.24        92514.81
      0.25        86039.99
      0.26        80192.11
      0.27        74898.17
      0.28        70101.04
      0.29        65752.69
      0.30        61806.38
      0.31        58217.29
      0.32        54946.62
      0.33        51959.88
      0.34        49225.53
      0.35        46715.67
      0.36        44405.98
      0.37        42278.63
      0.38        40319.43
      0.39        38516.68
      0.40        36860.23
      0.41        35338.75
      0.42        33941.70
      0.43        32660.01
      0.44        31486.35
      0.45        30414.56
      0.46        29438.55
      0.47        28552.98
      0.48        27753.06
      0.49        27033.28
      0.50        26387.12
