# q (A^-1)   I(q)
      0.00      3084818.41
      0.01      2948744.69
      0.02      2613361.23
      0.03      2165235.32
      0.04      1706650.45
      0.05      1309629.72
      0.06      1001084.56
      0.07       775311.08
      0.08       613549.38
      0.09       496780.12
      0.10       410681.07
      0.11       345703.30
      0.12       295580.97
      0.13       256139.72
      0.14       224547.96
      0.15       198838.27
      0.16       177635.14
      0.17       159939.43
      0.18       144996.00
      0.19       132234.81
      0.20       121223.10
      0.21       111637.95
      0.22       103234.38
      0.23        95817.57
      0.24        89234.58
      0.25        83363.54
      0.26        78106.92
      0.27        73385.24
      0.28        69130.16
      0.29        65283.98
      0.30        61797.86
      0.31        58628.65
      0.32        55737.52
      0.33        53088.56
      0.34        50649.84
      0.35        48394.87
      0.36        46302.17
      0.37        44355.72
      0.38        42543.66
      0.39        40856.93
      0.40        39288.58
      0.41        37832.16
      0.42        36481.53
      0.43        35231.25
      0.44        34076.88
      0.45        33015.16
      0.46        32043.09
      0.47        31158.05
      0.48        30357.68
      0.49        29638.53
      0.50        28995.11
