# q (A^-1)   I(q)
      0.00       152856.45
      0.01       151685.54
      0.02       149230.42
      0.03       145315.92
      0.04       140027.45
      0.05       133587.15
      0.06       126217.72
      0.07       118128.18
      0.08       109571.67
      0.09       100782.06
      0.10        91999.14
      0.11        83453.58
      0.12        75322.41
      0.13        67738.81
      0.14        60779.31
      0.15        54472.10
      0.16        48818.85
      0.17        43794.87
      0.18        39360.22
      0.19        35465.92
      0.20        32054.79
      0.21        29070.41
      0.22        26458.47
      0.23        24168.23
      0.24        22155.62
      0.25        20381.39
      0.26        18812.18
      0.27        17420.14
      0.28        16181.18
      0.29        15075.47
      0.30        14085.89
      0.31        13197.63
      0.32        12398.22
      0.33        11676.54
      0.34        11023.24
      0.35        10430.53
      0.36         9891.75
      0.37         9401.61
      0.38         8955.38
      0.39         8548.81
      0.40         8178.04
      0.41         7839.33
      0.42         7529.47
      0.43         7245.78
      0.44         6986.18
      0.45         6749.28
      0.46         6533.99
      0.47         6339.38
      0.48         6164.52
      0.49         6008.11
      0.50         5868.61
