# q (A^-1)   I(q)
      0.00      1146479.96
      0.01      1102648.71
      0.02      1020967.67
      0.03       904597.90
      0.04       770587.50
      0.05       637974.25
      0.06       519609.24
      0.07       421136.51
      0.08       343312.72
      0.09       283368.64
      0.10       237458.34
      0.11       202060.44
      0.12       174339.58
      0.13       152256.50
      0.14       134385.81
      0.15       119696.55
      0.16       107458.66
      0.17        97140.37
      0.18        88344.80
      0.19        80786.36
      0.20        74243.02
      0.21        68542.47
      0.22        63551.17
      0.23        59154.99
      0.24        55264.04
      0.25        51803.23
      0.26        48709.95
      0.27        45934.93
      0.28        43435.17
      0.29        41175.42
      0.30        39125.39
      0.31        37258.25
      0.32        35551.88
      0.33        33986.22
      0.34        32544.29
      0.35        31212.07
      0.36        29977.99
      0.37        28833.74
      0.38        27772.86
      0.39        26789.96
      0.40        25880.34
      0.41        25038.77
      0.42        24260.24
      0.43        23540.45
      0.44        22875.93
      0.45        22264.90
      0.46        21706.24
      0.47        21198.82
      0.48        20740.96
      0.49        20329.56
      0.50        19960.40
