# q (A^-1)   I(q)
      0.00      1329115.17
      0.01      1280607.91
      0.02      1168805.32
      0.03      1011854.07
      0.04       838714.33
      0.05       675592.98
      0.06       537809.00
      0.07       429588.80
      0.08       348120.17
      0.09       287448.87
      0.10       241725.01
      0.11       206533.58
      0.12       178850.02
      0.13       156684.32
      0.14       138682.54
      0.15       123863.43
      0.16       111517.56
      0.17       101116.48
      0.18        92257.57
      0.19        84637.00
      0.20        78017.54
      0.21        72219.85
      0.22        67107.44
      0.23        62572.29
      0.24        58529.47
      0.25        54909.42
      0.26        51655.88
      0.27        48723.60
      0.28        46074.21
      0.29        43676.01
      0.30        41501.58
      0.31        39526.10
      0.32        37727.21
      0.33        36082.79
      0.34        34571.91
      0.35        33176.40
      0.36        31881.39
      0.37        30676.62
      0.38        29555.16
      0.39        28511.87
      0.40        27542.43
      0.41        26642.32
      0.42        25807.26
      0.43        25033.70
      0.44        24318.87
      0.45        23660.81
      0.46        23058.13
      0.47        22509.58
      0.48        22013.80
      0.49        21568.53
      0.50        21170.15
