# q (A^-1)   I(q)
      0.00      2968054.03
      0.01      2764773.84
      0.02      2415089.07
      0.03      1969755.37
      0.04      1528631.58
      0.05      1160959.52
      0.06       883151.75
      0.07       681751.08
      0.08       537444.50
      0.09       433214.00
      0.10       356822.04
      0.11       299949.31
      0.12       256758.38
      0.13       223239.99
      0.14       196698.57
      0.15       175260.56
      0.16       157652.49
      0.17       142981.05
      0.18       130584.33
      0.19       119997.76
      0.20       110872.34
      0.21       102941.85
      0.22        96006.90
      0.23        89893.11
      0.24        84462.29
      0.25        79603.10
      0.26        75228.78
      0.27        71279.58
      0.28        67707.00
      0.29        64471.70
      0.30        61534.99
      0.31        58858.50
      0.32        56411.70
      0.33        54165.25
      0.34        52092.00
      0.35        50167.16
      0.36        48369.85
      0.37        46687.64
      0.38        45113.41
      0.39        43642.34
      0.40        42269.19
      0.41        40986.73
      0.42        39788.72
      0.43        38670.41
      0.44        37629.25
      0.45        36664.28
      0.46        35774.39
      0.47        34958.94
      0.48        34215.90
      0.49        33541.05
      0.50        32928.26
