# Coarse grained form factors for the 2-bead Calpha+COM scheme
# Data taken from Tong, Yang and Lu. J. Appl. Cryst. 2016, 49, 1148
# q    BB    ALA   CYS    ASP    GLU     PHE    GLY   HIS    ILE   LYS    LEU   MET    ASN     PRO   GLN    ARG    SER    THR    VAL   TRP    TYR
0.000000 13.271200 -4.239596 5.482685 6.905772 5.948488 -4.103200 -3.285537 8.100429 -7.059277 -2.286106 -7.042542 3.255507 6.696969 -4.629525 5.762078 10.047031 0.741706 -0.186788 -6.128604 2.425584 0.878432
0.010000 13.257858 -4.224506 5.497276 6.914629 5.953493 -4.086894 -3.273949 8.113029 -7.045315 -2.270945 -7.028304 3.271774 6.713004 -4.620123 5.774727 10.065448 0.752519 -0.171706 -6.113620 2.444337 0.890999
0.020000 13.200550 -4.161999 5.558192 6.958613 5.986493 -4.021067 -3.221443 8.168338 -6.986318 -2.207553 -6.968539 3.336853 6.777614 -4.573786 5.829983 10.137794 0.802834 -0.109696 -6.051971 2.517151 0.946426
0.030000 13.109090 -4.062016 5.655128 7.028278 6.039764 -3.916737 -3.136558 8.257202 -6.892650 -2.103870 -6.873826 3.438145 6.878889 -4.497865 5.918169 10.253749 0.884431 -0.012003 -5.954942 2.632094 1.035989
0.040000 12.988645 -3.929986 5.781945 7.119069 6.111549 -3.781204 -3.022713 8.375458 -6.770365 -1.962106 -6.750676 3.566629 7.008922 -4.393829 6.034549 10.407444 0.994175 0.114257 -5.829311 2.780774 1.155638
0.050000 12.844852 -3.772077 5.931593 7.226326 6.200818 -3.622964 -2.883884 8.518648 -6.625947 -1.784541 -6.606361 3.712958 7.159690 -4.263319 6.174499 10.592386 1.128056 0.261551 -5.681647 2.953845 1.300243
0.060000 12.682801 -3.594375 6.097517 7.346537 6.308028 -3.450001 -2.724184 8.682919 -6.464641 -1.573641 -6.447130 3.869876 7.324949 -4.108466 6.334749 10.802367 1.281416 0.423504 -5.516811 3.142785 1.464362
0.070000 12.506504 -3.402452 6.274735 7.477961 6.435172 -3.268337 -2.547608 8.865656 -6.289523 -1.332425 -6.276839 4.033685 7.500946 -3.932352 6.513804 11.031960 1.449199 0.595714 -5.337664 3.340877 1.643041
0.080000 12.319125 -3.201399 6.459930 7.620140 6.584688 -3.081644 -2.357920 9.065540 -6.102183 -1.064594 -6.096979 4.203887 7.685595 -3.739018 6.711110 11.276792 1.626314 0.775513 -5.146083 3.542964 1.832133
0.090000 12.123751 -2.996065 6.650523 7.772629 6.757427 -2.892030 -2.158703 9.281834 -5.904618 -0.774476 -5.908108 4.381246 7.876930 -3.532790 6.925407 11.533705 1.808105 0.961017 -4.944520 3.744567 2.028004
0.100000 11.924071 -2.791059 6.843542 7.933943 6.950666 -2.701239 -1.953504 9.513180 -5.700834 -0.467175 -5.711545 4.565532 8.072188 -3.317437 7.153466 11.800575 1.990930 1.150212 -4.736880 3.941457 2.227111
0.110000 11.724363 -2.590206 7.035236 8.101488 7.157574 -2.511229 -1.745778 9.756685 -5.496721 -0.148754 -5.510025 4.754256 8.268278 -3.095847 7.390170 12.075704 2.172659 1.340711 -4.528115 4.130306 2.426224
0.120000 11.528735 -2.395755 7.221767 8.272423 7.368864 -2.323742 -1.538450 10.007953 -5.298158 0.174151 -5.306966 4.942939 8.463085 -2.870290 7.629897 12.357144 2.352791 1.530268 -4.322953 4.309942 2.623326
0.130000 11.340235 -2.208103 7.400289 8.444602 7.575794 -2.139412 -1.333468 10.262061 -5.108795 0.495261 -5.105195 5.126598 8.656361 -2.642788 7.868176 12.642313 2.531966 1.717427 -4.124762 4.481975 2.818233
0.140000 11.160593 -2.026417 7.569486 8.616806 7.772642 -1.957364 -1.131852 10.514700 -4.929182 0.809413 -4.906263 5.301497 8.849396 -2.415193 8.102385 12.927917 2.711110 1.901589 -3.935247 4.649990 3.012065
