# q (A^-1)   I(q)
      0.00      2989614.51
      0.01      2826609.25
      0.02      2478880.48
      0.03      2025720.01
      0.04      1573160.65
      0.05      1193250.62
      0.06       906914.36
      0.07       702338.73
      0.08       558078.26
      0.09       454797.88
      0.10       378846.30
      0.11       321426.79
      0.12       276859.21
      0.13       241477.67
      0.14       212880.02
      0.15       189404.34
      0.16       169895.22
      0.17       153509.56
      0.18       139607.01
      0.19       127704.26
      0.20       117415.39
      0.21       108448.69
      0.22       100583.51
      0.23        93641.33
      0.24        87482.42
      0.25        81991.72
      0.26        77076.10
      0.27        72662.12
      0.28        68685.58
      0.29        65092.01
      0.30        61834.83
      0.31        58871.12
      0.32        56164.18
      0.33        53680.29
      0.34        51391.27
      0.35        49274.54
      0.36        47311.88
      0.37        45488.85
      0.38        43793.72
      0.39        42217.39
      0.40        40753.07
      0.41        39394.06
      0.42        38134.35
      0.43        36967.98
      0.44        35890.60
      0.45        34899.26
      0.46        33991.73
      0.47        33165.74
      0.48        32418.01
      0.49        31744.48
      0.50        31140.23
