# q (A^-1)   I(q)
      0.00      2444438.66
      0.01      2326130.64
      0.02      2070073.19
      0.03      1727519.22
      0.04      1372743.82
      0.05      1062146.79
      0.06       818153.74
      0.07       637785.13
      0.08       507647.41
      0.09       413247.02
      0.10       343400.07
      0.11       290545.68
      0.12       249652.92
      0.13       217380.84
      0.14       191477.12
      0.15       170345.37
      0.16       152867.95
      0.17       138235.87
      0.18       125841.34
      0.19       115239.79
      0.20       106085.14
      0.21        98115.93
      0.22        91133.09
      0.23        84975.33
      0.24        79516.87
      0.25        74654.35
      0.26        70299.96
      0.27        66383.31
      0.28        62845.55
      0.29        59639.83
      0.30        56727.20
      0.31        54071.33
      0.32        51639.77
      0.33        49402.25
      0.34        47332.76
      0.35        45410.74
      0.36        43619.46
      0.37        41946.90
      0.38        40384.64
      0.39        38926.56
      0.40        37568.27
      0.41        36304.20
      0.42        35128.50
      0.43        34035.79
      0.44        33021.43
      0.45        32083.02
      0.46        31219.56
      0.47        30430.69
      0.48        29715.41
      0.49        29070.66
      0.50        28491.62
