# q (A^-1)   I(q)
      0.00     20359351.70
      0.01     16984378.23
      0.02     11922373.35
      0.03      7623719.71
      0.04      4941567.06
      0.05      3387830.33
      0.06      2445454.65
      0.07      1841562.89
      0.08      1436841.49
      0.09      1154497.73
      0.10       951450.08
      0.11       801130.30
      0.12       686738.52
      0.13       597512.18
      0.14       526398.92
      0.15       468766.05
      0.16       421459.65
      0.17       382052.16
      0.18       348729.08
      0.19       320216.62
      0.20       295559.64
      0.21       274050.67
      0.22       255188.32
      0.23       238530.32
      0.24       223725.58
      0.25       210527.95
      0.26       198697.66
      0.27       188030.59
      0.28       178364.17
      0.29       169573.56
      0.30       161572.78
      0.31       154277.02
      0.32       147591.03
      0.33       141427.32
      0.34       135711.70
      0.35       130391.94
      0.36       125428.35
      0.37       120790.44
      0.38       116456.99
      0.39       112407.33
      0.40       108635.92
      0.41       105126.69
      0.42       101851.99
      0.43        98791.66
      0.44        95938.45
      0.45        93298.31
      0.46        90874.95
      0.47        88661.73
      0.48        86648.87
      0.49        84826.96
      0.50        83182.72
