# q (A^-1)   I(q)
      0.00      1345216.77
      0.01      1300943.16
      0.02      1184809.56
      0.03      1021394.44
      0.04       842206.55
      0.05       674000.19
      0.06       532241.21
      0.07       421200.83
      0.08       337900.44
      0.09       276378.36
      0.10       230699.69
      0.11       196200.83
      0.12       169575.45
      0.13       148578.66
      0.14       131692.54
      0.15       117873.56
      0.16       106396.42
      0.17        96742.96
      0.18        88531.81
      0.19        81477.44
      0.20        75360.38
      0.21        70010.40
      0.22        65295.31
      0.23        61111.54
      0.24        57378.53
      0.25        54032.77
      0.26        51023.08
      0.27        48307.38
      0.28        45850.31
      0.29        43621.97
      0.30        41596.16
      0.31        39748.86
      0.32        38057.29
      0.33        36500.52
      0.34        35060.29
      0.35        33722.22
      0.36        32475.59
      0.37        31312.45
      0.38        30226.97
      0.39        29214.64
      0.40        28271.67
      0.41        27394.32
      0.42        26578.77
      0.43        25821.45
      0.44        25119.96
      0.45        24473.29
      0.46        23881.49
      0.47        23344.57
      0.48        22861.51
      0.49        22429.82
      0.50        22045.61
