# q (A^-1)   I(q)
      0.00       892959.73
      0.01       834338.25
      0.02       783284.27
      0.03       713633.70
      0.04       627848.92
      0.05       538501.44
      0.06       453986.72
      0.07       378210.51
      0.08       314366.33
      0.09       262181.06
      0.10       220299.33
      0.11       187149.21
      0.12       160813.31
      0.13       139769.45
      0.14       122818.21
      0.15       108962.65
      0.16        97520.08
      0.17        87966.08
      0.18        79894.19
      0.19        73031.57
      0.20        67144.11
      0.21        62057.09
      0.22        57638.82
      0.23        53765.57
      0.24        50351.72
      0.25        47320.34
      0.26        44607.11
      0.27        42169.25
      0.28        39964.26
      0.29        37963.44
      0.30        36144.27
      0.31        34484.07
      0.32        32968.61
      0.33        31581.46
      0.34        30308.46
      0.35        29138.58
      0.36        28059.34
      0.37        27063.41
      0.38        26143.77
      0.39        25294.08
      0.40        24509.55
      0.41        23783.06
      0.42        23108.92
      0.43        22482.01
      0.44        21898.00
      0.45        21355.37
      0.46        20852.05
      0.47        20386.59
      0.48        19957.07
      0.49        19559.48
      0.50        19190.28
